Gene_ID,Drug_ID,Association_Label,drug_emb_index,prot_emb_index
PA31744,PA10804,0,0,0
PA31744,PA128406956,1,1,1
PA31744,PA131285527,1,2,2
PA31744,PA164713176,1,3,3
PA31744,PA449014,1,4,4
PA31744,PA449165,1,5,5
PA31744,PA449298,1,6,6
PA31744,PA449412,1,7,7
PA31744,PA449476,1,8,8
PA31744,PA451906,1,9,9
PA31744,PA451991,1,10,10
PA27331,PA166115361,1,11,11
PA28469,PA166115361,1,12,12
PA267,PA164744326,1,13,13
PA113,PA164712720,1,14,14
PA113,PA164712950,1,15,15
PA113,PA164776637,1,16,16
PA113,PA166268781,1,17,17
PA113,PA166277861,1,18,18
PA113,PA166313325,1,19,19
PA113,PA166328901,1,20,20
PA113,PA448073,1,21,21
PA113,PA449072,1,22,22
PA113,PA450626,1,23,23
PA159,PA449509,1,24,24
PA343,PA449509,1,25,25
PA117,PA450801,1,26,26
PA123,PA450801,0,27,27
PA124,PA450801,0,28,28
PA126,PA450801,0,29,29
PA128,PA450801,0,30,30
PA130,PA450801,0,31,31
PA131,PA450801,0,32,32
PA192,PA450801,1,33,33
PA193,PA450801,0,34,34
PA267,PA450801,1,35,35
PA27093,PA450801,0,36,36
PA27478,PA450801,0,37,37
PA27479,PA450801,1,38,38
PA28162,PA450801,1,39,39
PA29549,PA450801,1,40,40
PA29556,PA450801,1,41,41
PA29561,PA450801,1,42,42
PA312,PA450801,0,43,43
PA31891,PA450801,1,44,44
PA35055,PA450801,0,45,45
PA35056,PA450801,0,46,46
PA355,PA450801,1,47,47
PA37179,PA450801,0,48,48
PA130,PA448586,1,49,49
PA128,PA452610,1,50,50
PA128,PA164743977,1,51,51
PA420,PA164743977,1,52,52
PA24719,PA166163482,1,53,53
PA27844,PA131301952,1,54,54
PA27844,PA134687924,1,55,55
PA27844,PA152241907,1,56,56
PA27844,PA164746311,1,57,57
PA27844,PA164747170,1,58,58
PA27844,PA164920420,1,59,59
PA27844,PA165110439,1,60,60
PA27844,PA165290933,1,61,61
PA27844,PA165291472,1,62,62
PA27844,PA165958441,1,63,63
PA27844,PA166124615,1,64,64
PA27844,PA166129522,1,65,65
PA27844,PA166153469,1,66,66
PA27844,PA166153470,1,67,67
PA27844,PA166153471,1,68,68
PA27844,PA166182723,1,69,69
PA27844,PA166182740,1,70,70
PA27844,PA166184523,1,71,71
PA27844,PA166184566,1,72,72
PA27844,PA166190621,1,73,73
PA27844,PA166225061,1,74,74
PA27844,PA166225141,1,75,75
PA27844,PA166235241,1,76,76
PA27844,PA166313327,1,77,77
PA27844,PA166328761,1,78,78
PA27844,PA166345562,1,79,79
PA27844,PA166400101,1,80,80
PA27844,PA166400141,1,81,81
PA27844,PA448771,1,82,82
PA27844,PA448803,1,83,83
PA27844,PA449383,1,84,84
PA27844,PA451743,1,85,85
PA26498,PA164776637,1,86,86
PA26498,PA166268781,1,87,87
PA26498,PA166277861,1,88,88
PA26498,PA166313325,1,89,89
PA26498,PA166328901,1,90,90
PA116,PA10204,1,91,91
PA116,PA10251,1,92,92
PA116,PA10804,1,93,93
PA116,PA10810,1,94,94
PA116,PA128406956,1,95,95
PA116,PA131285527,1,96,96
PA116,PA132595336,1,97,97
PA116,PA133950441,1,98,98
PA116,PA142650384,1,99,99
PA116,PA143485705,1,100,100
PA116,PA146123005,1,101,101
PA116,PA164712708,1,102,102
PA116,PA164713176,1,103,103
PA116,PA164748728,1,104,104
PA116,PA164760843,1,105,105
PA116,PA165110351,1,106,106
PA116,PA448500,1,107,107
PA116,PA448785,1,108,108
PA116,PA448866,1,109,109
PA116,PA449014,1,110,110
PA116,PA449165,1,111,111
PA116,PA449383,1,112,112
PA116,PA449412,1,113,113
PA116,PA449441,1,114,114
PA116,PA449493,1,115,115
PA116,PA450085,1,116,116
PA116,PA450163,1,117,117
PA116,PA450198,1,118,118
PA116,PA450264,1,119,119
PA116,PA450428,1,120,120
PA116,PA450566,1,121,121
PA116,PA450732,1,122,122
PA116,PA450761,1,123,123
PA116,PA451089,1,124,124
PA116,PA451260,1,125,125
PA116,PA451363,1,126,126
PA116,PA451578,1,127,127
PA116,PA451581,1,128,128
PA116,PA451879,1,129,129
PA116,PA7000,1,130,130
PA116,PA448866,1,131,131
PA27331,PA448866,1,132,132
PA28469,PA448866,1,133,133
PA390,PA448866,1,134,134
PA267,PA449259,1,135,135
PA128,PA451583,1,136,136
PA130,PA451583,1,137,137
PA131,PA451583,0,138,138
PA28469,PA451521,1,139,139
PA128,PA164743236,1,140,140
PA29028,PA166152838,1,141,141
PA29808,PA451688,1,142,142
PA245,PA448794,1,143,143
PA123,PA166178554,1,144,144
PA312,PA165860788,1,145,145
PA159,PA165981594,1,146,146
PA35026,PA165981594,1,147,147
PA420,PA165981594,1,148,148
PA128747823,PA164713257,1,149,149
PA128747823,PA449015,1,150,150
PA128747823,PA450401,1,151,151
PA128747823,PA450522,1,152,152
PA128747823,PA451866,1,153,153
PA128747823,PA452229,1,154,154
PA343,PA450521,1,155,155
PA245,PA10505,1,156,156
PA128,PA166184711,1,157,157
PA131,PA450128,1,158,158
PA267,PA164713162,1,159,159
PA124,PA449590,1,160,160
PA130,PA449590,1,161,161
PA134904907,PA450125,1,162,162
PA134979668,PA450125,1,163,163
PA142672060,PA450125,1,164,164
PA27331,PA450125,1,165,165
PA389,PA448852,1,166,166
PA30128,PA166223903,1,167,167
PA128,PA153619853,1,168,168
PA130,PA153619853,1,169,169
PA227,PA134308647,1,170,170
PA227,PA142650384,1,171,171
PA227,PA164749390,1,172,172
PA227,PA164784024,1,173,173
PA227,PA166114922,1,174,174
PA227,PA166114927,1,175,175
PA227,PA166159961,1,176,176
PA227,PA166222281,1,177,177
PA227,PA166268802,1,178,178
PA227,PA448499,1,179,179
PA227,PA448500,1,180,180
PA227,PA450272,1,181,181
PA227,PA451089,1,182,182
PA227,PA451241,1,183,183
PA134952671,PA166163408,1,184,184
PA166049147,PA166163408,1,185,185
PA182,PA166314341,1,186,186
PA7360,PA166314341,1,187,187
PA24597,PA449396,1,188,188
PA33,PA449396,1,189,189
PA34,PA449396,1,190,190
PA35,PA449396,1,191,191
PA36,PA449396,1,192,192
PA37,PA449396,1,193,193
PA38,PA449396,1,194,194
PA376,PA449014,1,195,195
PA376,PA449165,1,196,196
PA376,PA449412,1,197,197
PA376,PA450163,1,198,198
PA376,PA450428,1,199,199
PA376,PA450550,1,200,200
PA376,PA451879,1,201,201
PA33532,PA10888,1,202,202
PA33532,PA162372840,1,203,203
PA33532,PA448500,1,204,204
PA33532,PA449167,1,205,205
PA33532,PA450496,1,206,206
PA33532,PA450626,1,207,207
PA33532,PA451365,1,208,208
PA33532,PA451578,1,209,209
PA33532,PA451906,1,210,210
PA33532,PA451954,1,211,211
PA113,PA166313325,1,212,212
PA114,PA166313325,1,213,213
PA26487,PA166313325,1,214,214
PA26490,PA166313325,1,215,215
PA26491,PA166313325,1,216,216
PA26492,PA166313325,1,217,217
PA26494,PA166313325,1,218,218
PA26498,PA166313325,1,219,219
PA7360,PA166182279,1,220,220
PA55,PA133950441,1,221,221
PA55,PA164712505,1,222,222
PA55,PA166313301,1,223,223
PA55,PA166350685,1,224,224
PA55,PA166400001,1,225,225
PA55,PA448500,1,226,226
PA55,PA449594,1,227,227
PA55,PA449688,1,228,228
PA55,PA451089,1,229,229
PA55,PA451260,1,230,230
PA55,PA451363,1,231,231
PA55,PA451906,1,232,232
PA55,PA452632,1,233,233
PA397,PA10005,1,234,234
PA397,PA10204,0,235,235
PA397,PA10227,1,236,236
PA397,PA10804,1,237,237
PA397,PA128406956,1,238,238
PA397,PA164712563,1,239,239
PA397,PA164774763,1,240,240
PA397,PA165949771,1,241,241
PA397,PA166201941,1,242,242
PA397,PA448515,1,243,243
PA397,PA449014,1,244,244
PA397,PA449165,1,245,245
PA397,PA449177,1,246,246
PA397,PA449412,1,247,247
PA397,PA449719,1,248,248
PA397,PA450085,1,249,249
PA397,PA450163,1,250,250
PA397,PA450379,1,251,251
PA397,PA450428,1,252,252
PA397,PA451954,1,253,253
PA397,PA452634,1,254,254
PA109,PA166153449,1,255,255
PA117,PA449841,1,256,256
PA128,PA449841,0,257,257
PA130,PA449841,1,258,258
PA131,PA449841,1,259,259
PA134872551,PA449841,1,260,260
PA134947616,PA449841,1,261,261
PA147,PA449841,1,262,262
PA212,PA449841,1,263,263
PA267,PA449841,0,264,264
PA27478,PA449841,1,265,265
PA27832,PA449841,1,266,266
PA27955,PA449841,1,267,267
PA28980,PA449841,1,268,268
PA29816,PA449841,1,269,269
PA30676,PA449841,1,270,270
PA311,PA449841,1,271,271
PA312,PA449841,1,272,272
PA34896,PA449841,1,273,273
PA83,PA449841,1,274,274
PA155,PA10352,1,275,275
PA155,PA128406956,1,276,276
PA155,PA131285527,1,277,277
PA155,PA150595617,1,278,278
PA155,PA164713176,1,279,279
PA155,PA166122986,1,280,280
PA155,PA448645,1,281,281
PA155,PA448771,1,282,282
PA155,PA448803,1,283,283
PA155,PA449014,1,284,284
PA155,PA449165,1,285,285
PA155,PA449383,1,286,286
PA155,PA449412,1,287,287
PA155,PA449552,1,288,288
PA155,PA449748,1,289,289
PA155,PA449809,1,290,290
PA155,PA450198,1,291,291
PA155,PA450761,1,292,292
PA155,PA451644,1,293,293
PA27112,PA164746058,1,294,294
PA27112,PA164749056,1,295,295
PA27112,PA448383,1,296,296
PA27112,PA448498,1,297,297
PA27112,PA449293,1,298,298
PA27112,PA450386,1,299,299
PA27112,PA450572,1,300,300
PA27112,PA451578,1,301,301
PA27112,PA451619,1,302,302
PA27112,PA451666,1,303,303
PA130,PA451647,1,304,304
PA27093,PA451647,1,305,305
PA39,PA451258,1,306,306
PA83,PA451258,1,307,307
PA134915280,PA166182718,1,308,308
PA24719,PA166182718,1,309,309
PA35055,PA166182718,1,310,310
PA7360,PA166182718,1,311,311
PA134865839,PA449719,1,312,312
PA139,PA449719,1,313,313
PA176,PA449719,1,314,314
PA31,PA449719,1,315,315
PA397,PA449719,1,316,316
PA24597,PA450431,1,317,317
PA33,PA450431,1,318,318
PA34,PA450431,1,319,319
PA128,PA166151992,0,320,320
PA124,PA449932,1,321,321
PA229,PA166235341,1,322,322
PA229,PA448500,1,323,323
PA229,PA451363,1,324,324
PA229,PA451846,1,325,325
PA229,PA452233,1,326,326
PA293,PA164776853,1,327,327
PA378,PA10034,1,328,328
PA378,PA10049,1,329,329
PA378,PA10251,1,330,330
PA378,PA10364,1,331,331
PA378,PA10832,1,332,332
PA378,PA127840611,1,333,333
PA378,PA146096022,1,334,334
PA378,PA150481189,1,335,335
PA378,PA162372840,1,336,336
PA378,PA164743137,1,337,337
